,year,artist,song
616,2002,FC Kahuna,Microcuts
617,2005,September,Sacrifice
618,2008,Soilent Green,Superstition Aimed At One's Skull
619,2007,Fueled By Fire,Striking Death
620,2009,Mark Eitzel,Buried Treasure
621,2002,Orquesta El Arranque,Nocturna
622,2000,The 69 Eyes,30 (Album Version)
623,2005,Kurban,Cennet
624,2008,Pleasure P,Did You Wrong (Explicit Album Version)
625,2006,Tiny Tim,Great Balls Of Fire
626,2009,Kid British,Elizabeth
627,2010,The Maccabees,I Drove All Night
628,2009,Kells,Le dictat du silence
629,1994,Ellery Eskelin,100 Days
630,1995,Shane MacGowan And The Popes,Haunted
631,1996,Eels,Your Lucky Day In Hell
632,2007,Nightwish,The islander
633,1996,Metallica,Until It Sleeps
634,2009,Blakfish,9th Base
635,2007,The Hoosiers,Run Rabbit Run
636,2003,Fidel Nadal,En Un Cassette
637,2003,Mellow Mark,Mi Casa
638,2004,Decapitated,The Fury
639,2002,Deep Forest,Computer machine
640,2007,Mohsen Namjoo,Dar Miane Jan (Vang Vang)
641,1998,Sonny Clark,Gee Baby_ Ain't I Good To You (Alternate Take)
642,1992,R.L. Burnside & The Sound Machine,Burnside's blues
643,1998,Dick Curless,Loser's Cocktail
644,1998,Social Unrest,Thinking Of Suicide
645,1994,The Offspring,Genocide
646,2000,Big Tymers,Get Your Roll On
647,1997,Laurent Garnier,The Hoe (Old School Mix)
648,2005,Trick Trick,Leave Your Past
649,2000,Waxwings,Fragile Girl
650,1999,Natalie Merchant,San Andreas Fault (Live Version)
651,1996,Nellie Lutcher,Wish I Was In Walla Walla
652,2000,Masterboy,Feel The Heat 2000
653,1997,The Mediaeval Baebes,Foweles In The Frith
654,2010,Alborosie,Kingdom Of Zion
655,2002,Tarwater,Billiard Xt
656,2001,L'Invasione degli Omini Verdi,Stella (studio)
657,1998,Newsboys,Shine (Shine The Hits Album Version)
658,2009,Wheat,Changes Is
659,2009,Winds Of Plague,The Great Stone War
660,2003,Karan Casey,The Ballad Of Tim Evans
661,2002,Shy FX & T-Power feat. Di & Skibadee,Don't Wanna Know (Album version)
662,2003,Elektrochemie LK,Lie To Me
663,1994,Miljoonasade,Tango Kesäyö
664,2006,Time Requiem,Sphere Of Fantasy
665,2004,The (International) Noise Conspiracy,Communist Moon
666,2005,Okkervil River,A Garden
667,2002,Epsilon Minus,Faceless Whispers
668,2000,Fastway,All Fired Up
669,2000,Insane Clown Posse,My Axe
670,2004,Sadat X,Exclusive Things
671,2002,Falko Brocksieper,Tune/Func
672,2004,Patton Oswalt,When You buy a Humvee
673,2007,Armin van Buuren,Sound Of Goodbye
674,1999,Edgar Winter,On The Tip Of My Tongue
675,2009,Alejandra Guzman,Ahogada En Tu Tristeza
676,1990,Black Box,Ride On Time
677,2007,Groove Armada,Song 4 Mutya (Out Of Control)
678,2000,Savoy-Doucet Cajun Band,Sam's Big Rooster (Le Gros Guime A Sam)
679,2001,Sascha Funke,When Will I Be Famous
680,1995,James P. Johnson,Arkansas Blues
681,1998,Joe Arroyo,A Mi Dios Todo Le Debo
682,1999,Britney Spears,(You Drive Me) Crazy (The Stop Remix!)
683,1999,Teen Idols,Skinflynt
684,2001,Beady Belle,Lose & Win
685,2007,Straylight Run,How Do I Fix My Head
686,2002,Young Dubliners,Name
687,2008,DEATH ANGEL,Carnival Justice
688,2003,One Minute Silence,Bob Hope
689,2003,Françoise Hardy,L'heure Bleue
690,2006,The Abominable Iron Sloth,A Hot Pink Shell Of My Former Self
691,2000,Mikey Spice,So Much Things
692,2005,Commercial Hippies,One Step
693,1999,Uzeb,Uzeb Club
694,2008,Agenda of Swine,Anatomy Of Social Issues Problem
695,1999,Lynch Mob,Smoke This
696,2000,Guano Apes,Gogan
697,2005,Les Blérots De R.A.V.E.L,Les Girafes Du Bord De Mer
698,2009,Switchfoot,Always (Album Version)
699,2006,From First to Last,The Crows Are Coming For Us
700,1998,Leif Garrett,You Had To Go And Change On Me
701,2006,Paquita La Del Barrio,Cheque En Blanco
702,2009,The Bloody Beetroots,Warp 1.9 (feat. Steve Aoki)
703,1999,Behemoth,Ceremony Of Shiva
704,2001,Amanda Marshall,Dizzy
705,1996,Anointed,Come Unto Me  (LP Version)
706,2004,Don Grusin,Wait For Me (Live)
707,1996,The Promise Ring,Run Down The Waterfall
708,2005,Sinai Beach,Hell Blaze (Album Version)
709,1999,Merle Travis,Merle's Boogie Woogie
710,2008,Red Snapper,Wanga Doll
711,2003,Von Spar,Kopfsteinpflaster
712,2001,R.E.M.,Summer Turns To High (LP Version)
713,2010,Prins Thomas,Sauerkraut
714,1999,Fifteen,The Deal
715,2004,Renee Olstead (Featuring Chris Botti),Someone To Watch Over Me (Album Version)
716,2006,Shuta Hasunuma,Repeat Cycles
717,1991,The Commitments,Mr. Pitiful
718,2004,In-Grid,Milord
719,2000,üNN,Two
720,1998,B21,Chitia Kipha Dia
721,1992,Greg Lake,From The Beginning
722,2004,Brad Mehldau Trio,Everything In Its Right Place (Album Version)
723,2005,Kiko Veneno,Contigo
724,1993,Loren Connors,Mother & Son
725,2005,Baby Teeth,Dream
726,2001,Antonio Orozco,Te Esperaré
727,1993,Erskine Hawkins Orchestra,After Hours
728,1997,Domine,The Mass of Chaos
729,2006,Heaven 17,Hands Up To Heaven (Astromill Mix)
730,2001,Jean-Jacques Milteau,Master Lester
731,2005,Destroyer,Amor por esto
732,1999,Combat 84,1982
733,2006,Ziggy X,X-Ercize 5
734,1992,Kris Kross,A Real Bad Dream
735,1990,Cómplices,Amor
736,2007,Helen Love,Jet
737,1998,Bryan Adams,Getaway
738,2006,Wilki,Mandala
739,2002,Roger Subirana,El Poema de la Pluja
740,2004,Willy Mason,21st Century Boy
741,1991,Bee Gees,Dimensions (Album Version)
742,1999,Azymuth,Pieces Of Ipanema
743,1998,White Willow,Leaving the House of Thanatos
744,1995,Gigolo Aunts,Ride On Baby Ride On
745,2004,D-12,40 Oz.
746,2008,Anna Tatangelo,Rose Spezzate
747,2010,Hot Chip,We Have Love
748,1993,M People,Moving On Up
749,1990,The Farm,All Together Now
750,2003,The Kingsbury Manx,Pinstripes
751,1996,R.L. Burnside,Snake Drive
752,2003,Cathy Davey,Seems So Long
753,2010,Freaky Age,The Dreamers
754,1994,The Tokens,A Tale Of Two Lovers
755,2004,Evan and Jaron,Where Were You
756,2006,Little Milton,The Thrill Is Gone
757,2007,Glass Candy,Rolling Down The Hills
758,2005,New Young Pony Club,The Get Go
759,2006,André Herman Düne,New York Song
760,2004,Chateau Flight,Ongaku
761,2005,Steve Kimock Band,Tongue N' Groove
762,1999,America,Sergeant Darkness (Live Version)
763,2007,Yelle,Tristesse/Joie
764,2005,Cephalgy,Öffne Deine Augen
765,1991,Steel Pole Bath Tub,Wonders Of Dust
766,1994,The Stanley Brothers,Hard Times
767,2007,Gallon Drunk,The Rotten Mile
768,2003,Airiel,RI
769,2006,Sami Koivikko,Pääjääsä
770,1999,Diesel Boy,Dear John
771,2002,Ephel Duath,Myriads
772,2007,Kukan Dub Lagan,Feel Life
773,1991,Janis Martin,My Boy Elvis
774,2004,Joe Satriani,The Souls Of Distortion
775,2008,Tok Tok Tok,The Game Is Over
776,1991,The Yardbirds,You're A Better Man Than I (LIVE)
777,1999,Sculpture,Why
778,2000,Rafael Toral,Energy Nourish
779,2006,Anti-Flag,This Is The End (For You My Friend)
780,2008,Drive-By Argument,Dance Like No One's Watching (Re-Mixed By Alan Moulder)
781,2001,Rob Zombie,Sinner's_ Inc
782,2004,Son de la Frontera,Bulería Del Corazón
783,2007,Rufus Wainwright,Nobody's Off The Hook
784,2000,David Peel and The Lower East Side,Oink_ Oink (LP Version)
785,2007,Dougal & Gammer,Dancing DJ
786,2010,Mary Chapin Carpenter,Mrs Hemingway
787,1990,Ottmar Liebert,Starry Nite (March Of Kings)
788,2004,Converge,Last Light
789,2009,Ryan Adams,Blossom
790,2003,Chimène Badi,Si J'Avais Su T'Aimer
791,2006,Francisco Céspedes,No puedo ser feliz
792,2007,Us3,Intoxicated
793,2002,Stefano Bollani,L'arca
794,2009,Rhonda Vincent / Ben Helson,Crazy What A Lonely Heart Will Do
795,2008,Look Mexico,Come On_ We Are Talking About You Here
796,1990,Oliver Onions,Verde
797,2006,Vex'd,Bombardment Of Saturn
798,2003,Million Dan,Dogz N Sledgez (Demolition Man Remix)
799,1990,Madredeus,Confissão
800,2004,Alastair Moock,Lovely Day
801,2003,A.C.T,Outro
802,1991,Elvis Costello,Harpies Bizarre (Album Version)
803,1994,Africando,Yay Boy
804,1992,The Pharcyde,Passing Me By
805,2001,Thee Silver Mt. Zion Memorial Orchestra & Tra-La-La Band,Built Then Burnt (Hurrah! Hurrah!)
806,2009,Megadeth,Bite The Hand (Album Version)
807,1999,CONTROL DENIED,Consumed
808,2008,The All-American Rejects,Back To Me
809,2003,The Be Good Tanyas,In my Time of Dying
810,2007,Helena Josefsson,Meadow
811,1992,The Country Gentlemen,Come All Ye Tender Hearted
812,2005,Söhne Mannheims,Wenn Du schläfst (Radio Edit)
813,2004,Steven Seagal,Music
814,2006,Ego Likeness,Aviary
815,1998,Freaky Chakra,Blacklight Fantasy
816,1994,Gas Huffer,What's In The Bag?
817,2005,Babylon Bombs,Get in The Ring
818,1996,Neneh Cherry,Hornbeam
819,2002,Icecream Hands,Waterproof
820,2009,The Sheer,Find Something For Me To Do When You're Gone
821,1994,Mary J. Blige,I'm Goin' Down
822,2002,McCoy Tyner Trio,You Stepped Out Of A Dream
823,2004,SoulPrint,Putrid
824,2008,The Mae Shi,Lamb And The Lion
825,2005,Dj Satomi,Waves
826,1999,Pennywise,Badge of Pride (Album Version)
827,2000,Souls Of Mischief,That Ain't Life (Climax)
828,2000,Porcupine Tree,Hatesong
829,1998,Golden Smog,To Call My Own
830,1992,Roger Waters,Perfect Sense_ Part I
831,1996,The Rutles,Major Happy's Up And Coming Once Upon A Good Time Band
832,2008,THE FATBACK BAND,FEEL THE FIRE
833,2010,Rhyme Asylum,Who Goes There
834,1998,Bruno Sanfilippo,Diverse Signs
835,2003,Walter Beasley,Do You Wanna Dance
836,2007,Original Naabtal Duo,Abendfrieden
837,2000,The Rippingtons / Dave Koz,Be Cool
838,2003,Yotoko,All Creation
839,1991,School Of Fish,Euphoria
840,2007,Russell Malone,Playground
841,2002,Hoobastank,Never Saw It Coming
842,2005,polarkreis 18,Ursa Major
843,2008,9mm Parabellum Bullet,We are Innocent
844,2004,Keri Noble,If No One Will Listen
845,2005,Melodium,Marcher à l'envers dans Nantes-Atlantique
846,2006,Vixen,Don'T Want It Anymore
847,1996,John Michael Montgomery,What I Do The Best
848,2000,Five Iron Frenzy,Four-Fifty-One
849,1997,Dimmu Borgir,Mourning palace
850,1998,Billy Eckstine,Where Are You?
851,2002,Captain Everything!,My Girlfriend's Dad runs a Sweatshop
852,2002,Nusrat Fateh Ali Khan,Mera Yeh Charkha
853,2006,Stephin Merritt,The Little Hebrew Girl
854,2010,Ronei Jorge e os ladrões de bicicleta,Vidinha
855,2004,Greg Osby,Shaw Nuff
856,2007,The Sprites,Patience
857,2006,Joe Lovano,The Birth of The Cool Suite - Blue Sketches
858,2008,The Pogues,Lullaby Of London (Demo)
859,1996,Tammy Wynette,Another Lonely Song
860,1994,The Mello-Kings,Running To You
861,1997,Bjork,Alarm Call (LP Version)
862,2006,Leeroy Stagger,Best Mistake
863,2007,Armand Van Helden,I Want Your Soul (TV Rock Remix)
864,1996,H-Blockx,Life Is Feeling Dizzy
865,1998,Hidden Agenda,Channel
866,2005,Max Mutzke,You
867,2003,Jimmy Yancey,How Long Blues
868,2007,Julie London,The Days Of Wine And Roses
869,2006,Bowling For Soup,Much More Beautiful Person
870,2003,John Foxx & Harold Budd,Implicit
871,2008,Jennifer Paige,Sugarcoated
872,2009,SuperGroove,Taste The Honey (feat. Simone)
873,1996,The Handsome Family,Tin Foil
874,2004,Jane Monheit,Love Me Or Leave Me
875,2005,Anna Nalick,Breathe (2 AM)
876,2001,Anti-Flag,Watch The Right
877,2003,The Jayhawks,Fingernail Moon (Album Version)
878,2003,Joe Firstman,The Adventures of the Empress of Harlem and The Amazing Subway Boy (Album Version)
879,1998,The Alarm,Majority
880,1994,Buck-O-Nine,Voice In My Head
881,2005,Starflyer 59,The Contest Completed
882,2008,City And Colour,The Girl
883,2004,Epic Hero,New Life
884,2006,Lily Allen,Littlest Things (Instrumental)
885,1991,Nuclear Valdez,Without Words
886,2007,Michael Jackson,Dapper Dan
887,1999,Kojak,Paradise
888,1995,Wax Doctor,The Spectrum
889,2005,Floetry,Butterflies
890,2007,Hexstatic,TLC
891,1999,F-Minus,Party's Over
892,2000,Francoiz Breut,Si Tu Disais
893,2003,Adequate Seven,No Space
894,2002,Cheikha Rimitti,GUENDOUZI MAMA
895,2003,Clem Snide,There Is Nothing
896,1991,John Mellencamp,They're So Tough
897,2000,Daniele Silvestri,Testardo
898,2007,Witchdoctor,Jake Got Ya Body
899,1999,CiM,Asial Fill
900,2006,Sayag Jazz Machine,Dallas (Pigeons Mix)
901,2005,Jamiroquai,Seven Days In Sunny June
902,2006,Madeleine Peyroux,(Looking For) The Heart Of Saturday Night
903,2007,The Wreckers,My_ Oh My [Live]
904,2008,Fermin Muguruza,Itzuliko Naiz
905,2005,Sidonie,Mientras Todo Avanza
906,2005,Jim Noir,I Me You I'M Your
907,2004,Jack Irons,Breaking Sea
908,2006,Bright Eyes,Four Winds
909,1998,Morcheeba,The Sea
910,2008,Staind,Save Me (Explicit Album Version)
911,2005,Sidonie,Acrobacias en Exopotamia
912,2005,The Old Dead Tree,Down: 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8
913,2009,Shayna Steele,So Real
914,2009,Turbo Fruits,My Stupid Heart
915,1997,3 Colours Red,Aniseed
916,2006,Hombres G,Que soy yo para ti (Radio edit)
917,2000,L.O.X.,Built For Bodies
918,2007,Puny Human,Northern Drawl
919,2010,All Star United,Crashing Cars
920,2009,All Time Low,Hello_ Brooklyn
921,2007,Ari Koivunen,God Of War
922,1994,Ernst Rolf,Mitt Svärmeri (Celle Que J'aime Est Parmi Vous)
923,2007,MC Lars,Hipster Girl
924,2007,The Electric Soft Parade,Misunderstanding
925,2008,Robert Le Magnifique,Nina
926,2004,Anata,Under The Debris
927,2007,Quasimode,Time Is Love feat. Carmen Lundy
928,1997,Emma Shapplin,Lucifero_ Quel Giorno.
929,2006,Kagerou,Lily
930,1998,Five Way Friday,Sad October
931,2006,Helen Merrill,April In Paris
932,2009,Nic Fanciulli,Materia
933,2004,STRAIGHTENER,DJ Roll (Video Addict Edit)
934,1998,Garbage,Push It
935,2007,Index ID,Nirgendwo
936,2009,Codeine Velvet Club,Vanity Kills
937,1992,Albert Ammons,Suitcase Blues
938,1993,Billy Joe Royal,Nobody But You
939,2004,Esthero,This Lull-a-bye (Album Version)
940,2000,The Lawrence Arms,106 South
941,1992,Monks Of Doom,Tanguedia (For Astor Piazzolla)
942,2006,Momo Wandel Soumah,Toko
943,2005,Letu Stuke,Zagrljaj
944,2001,Of Montreal,Mimi Merlot
945,1995,Strapping Young Lad,Drizzlehell
946,2008,Brother Firetribe,Heard It On My Radio
947,2001,The Vogues,Woman Helping Man
948,2003,Jenny Piccolo,Cyanide Inhaler
949,2001,Pete Townshend,Marty Robbins
950,2005,Refractory,Kung fu style (interlude)
951,2009,Almighty Defenders,Death Cult Soup n' Salad
952,1998,The Dirtbombs,Bittersweet Romance Song
953,2007,Hell Razah,Musical Murdah
954,1997,Postgirobygget,Lei Av Å Bli Lurt
955,1994,John Frusciante,Head (Beach Arab)
956,2008,Italoboyz,Zinga
957,1998,Psychic TV,Disc-Omen (Dj Doktor Megatrip & Mista Luv Mix)
958,2009,The Flowers Of Hell,Occasional Tears
959,1997,Animals on Wheels,Flush Fit Fanatic
960,2009,Keith Martin,Coming Home
961,1998,Children Of Bodom,Lake Bodom
962,2004,Ill Lit,Mid-City
963,2007,Don Williams,'Till The Rivers All Run Dry
964,1997,Archon Satani,Another Great Moment In Paradise
965,1999,Alejandro Fernandez,¿Porqué?
966,2001,Moqui Marbles,Feuer und Eis
967,2006,Mando Diao,Welcome Home Luc Robitaille
968,2006,Watashi Wa,Face
969,2007,Slow Club,Because We're Dead
970,2000,Thee Headcoats,The Messerschmitt Pilot's Severed Hand
971,1992,Priessnitz,Divnej Svet
972,1997,Amparanoia,Buen Rollito
973,1992,Mint Juleps,One Bad Stud
974,2002,Sevendust,T.O.A.B.
975,2004,Sieg Über Die Sonne,Love Is OK
976,1994,883,Sei Un Mito (Stefano Secchi Remix)
977,1999,The Muffs,Brand New Chevy
978,2008,David Civera,Espérame Allí
979,2009,Franz Nicolay,Jeff Penalty (feat. Demander)
980,2004,The Coctails,Trumpet Song
981,1994,Tiles,Token Pledge
982,2000,Eliane Elias,Introduction #1/If I Should Lose You
983,1999,Circle Of Dead Children,Ursa Major
984,2010,Arturo Sandoval,All the Way
985,1992,Kitchens Of Distinction,Smiling
986,2006,Baby Calendar,The Way Of The Samurai
987,1992,Joe Satriani,Cryin'
988,2005,Open Season,Sweet Music
989,2003,Sonique,Can't Make Up My Mind
990,2005,Carlos Baute,Te regalo
991,2001,Cadacross,Battle Of The North
992,2002,Skindred,Pressure (Acoustic Version - Hidden Track)
993,2004,Mandaryna,Here I Go Again
994,2005,Ris Paul Ric,Up In My Window
995,1991,PUNGENT STENCH,Sputter Supper
996,2001,Sham 69,Rip & Tear
997,1999,Raekwon featuring Big Bub,All I Got Is You Pt. II
998,2004,Medine,Guantanamo
999,2000,Lucha Villa,A Medias De La Noche
1000,2003,Robert Walter's 20th Congress,Dump Truck
1001,2004,Daddy Yankee,Gasolina
1002,2004,"Diomedes Diaz;Gonzalo ""El Cocha"" Molina",Sin Medir Distancias
1003,2007,Alejandro Fernandez,Cuando Estamos Juntos
1004,1997,Era,Cathar Rhythm
1005,2009,JLS,Beat Again
1006,2010,MRK1,Going Down
1007,1994,Carlos Gardel,Una Tarde
1008,2009,Comfort Fit,A Veces (feat. Anita Tijoux_ Hordatoj)
1009,2003,Antonello Venditti,Con Che Cuore
1010,1997,Dr. Ring-Ding & The Senior Allstars,Latin Goes Ska
1011,2000,Dog Fashion Disco,Leper Friend
1012,2010,Love Is All,Dust
1013,2005,La Phaze,DEVELOPPEMENT DURABLE POUR CHOMEURS DE LONGUE DUREE
1014,1997,Yellowman,The Girl is Mine
1015,1998,Joe Satriani,House Full Of Bullets
1016,2001,The Red Clay Ramblers,Diamond Joe
1017,1999,The Muffs,Get Me Out Of Here
1018,2007,Operator Please,Yes Yes Vindictive
1019,1997,Kelly Joe Phelps,Roll Away The Stone (Album Version)
1020,2005,The Bear Quartet,I Speak Much English
1021,2007,Eden's Curse,Eden's Curse
1022,2005,Comet Gain,Days I Forgot To Write Down
1023,2007,Wet Wet Wet,Weightless
1024,1991,Bikini Kill,Double Dare Ya
1025,2005,Death By Stereo,I Give My Life (Album Version)
1026,2006,Public Enemy,Son Of A Bush (live)
1027,2006,WERNER REDLICH,Mit den Farben deiner Heimat
1028,2003,Stillste Stund,Geliebt
1029,1997,Jazz Gillum,Gillum's Windy Blues
1030,2006,4 Promille,Mrs. Nice
1031,2007,The Residents,Scene 9 (Catatonia)
1032,2006,La Troba Kung-Fú,Calor calor
1033,2005,Skaos,Pocoman Jam
1034,2002,Thou Art Lord,Baphomet's Meteor
1035,2006,Violeta Parra,La Muerte Con Anteojos
1036,2008,Ghymes,Hol voltál?
1037,2007,Au Revoir Simone,Dark Halls
1038,2009,Circus Devils,The Gasoline Drinkers
1039,2005,The Audition,La Rivalita (Album Version)
1040,1993,Eric Champion,Rainbow Jam
1041,1997,Dr. Ring-Ding & The Senior Allstars,Ram Di Dance
1042,2006,Franky Kubrick,Der Größte den es gibt
1043,2003,Sunshine Blind,You Went Away
1044,2000,Aquagen,Die Macht Der Nacht
1045,1993,Heldon,Bolero
1046,1992,ANJA GARBAREK,Dekk Deg Til
1047,2001,Busta Rhymes feat. Jaheim,Wife In Law
1048,1996,The Cardigans,Never Recover
1049,2000,Lil' Kim,Notorious Kim
1050,2001,Deville_ Willy,Spanish Stroll
1051,1994,Doof,Star Above Pavarati
1052,2003,Drag-On,Fireman
1053,2004,Namnambulu,Transcending
1054,2005,Silicon Scally,Parallel Array
1055,1999,Sombre View,The Dark Circle
1056,1995,Insane Clown Posse,Hey Vato
1057,2008,Katie Noonan,Who Are You (Electro Funk Lovers Mix)
1058,1998,Renato Borghetti,Cana Verde / Tatu Novo / Tatu Velho / Balaio / Pezinho / Chula
1059,2005,Saxon Shore,April 14
1060,1999,Jimpster,(What's Cooking in the Interlude)
1061,1993,Jeremy Jordan,My Love Is Good Enough (LP Version)
1062,2009,The Blockheads,A Little Knowledge
1063,2004,Straylight Run,The Tension And The Terror (Album Version)
1064,1998,Bran Van 3000,Mama Don't Smoke
1065,2002,Blue States,The Interceptors
1066,2006,Benjy Ferree,Leaving The Nest (It's A Long Way Down)
1067,2007,Faca,Mi Deporte Favorito
1068,2007,Cephalgy,Was Bleibt
1069,2008,Eero Johannes,Katt Witt 700 Watts
1070,2000,Big Moe,Barre Baby (feat. Ronnetta Spencer)
1071,1991,Charles Musselwhite,Baby Will You Please Help Me
1072,1997,Boz Scaggs,Just Go
1073,2008,Taylor Swift,Forever & Always
1074,2005,Idiot Pilot,Moerae (The Locust) (Jel Remix)
1075,2001,Wreckless Eric,Hit Or Miss Judy
1076,1992,The Fourmost,My How The Time Goes By
1077,2009,Nightmares On Wax,Mega Donutz Dub
1078,2005,Frankie HI-NRG MC,Quelli Che Benpensano
1079,2007,Mondo Marcio,A Modo Mio
1080,2005,Spanky & Our Gang,Come And Open Your Eyes (Take A Look)
1081,2001,Nikka Costa,Heaven Sinner
1082,2000,Lady Laistee,Et Si ... ?
1083,2008,Tracy Byrd,Saltwater Cowboy
1084,2002,Tiger Army,American Nightmare
1085,1994,Blenderhead,Let Down
1086,2007,Charlotte Hatherley,Very Young
1087,2008,Dead To Fall,I.Q. Test (Album Version)
1088,2005,Akon,Gunshot (Fiesta Riddim)
1089,2007,Big Joe Williams,Whistling Pines
1090,2005,Gurdas Maan,Tut Gai Tarhak Karke
1091,1996,Harry Pussy,Untitled
1092,1997,Ani DiFranco,Wishin' and Hopin'
1093,1992,Grupo Niche,La Gallinita De Los Huevos De Oro
1094,2008,Casual,Vitrines
1095,1998,Ricky Martin,La Bomba
1096,2009,Amberian Dawn,Snowmaiden
1097,2007,Antigama,Shymrok
1098,2000,Deepak Ram,Cabbage And Roti
1099,2001,Earth Crisis,The Wanton Song (Album Version)
